constraint_set,iter,mean,count
implicit,0,0.23494772727272728,132
implicit,5,0.44782727272727274,132
implicit,10,0.48407045454545455,132
implicit,15,0.48646439393939395,132
implicit,20,0.47530681818181814,132
implicit,25,0.46080530303030304,132
implicit,29,0.45676666666666665,132
spatial,0,0.25197592592592594,108
spatial,5,0.4264240740740741,108
spatial,10,0.4590759259259259,108
spatial,15,0.4436731481481481,108
spatial,20,0.4152194444444444,108
spatial,25,0.40305555555555556,108
spatial,29,0.40425555555555553,108
spatial+temporal,0,0.3850858156028369,141
spatial+temporal,5,0.5391709219858156,141
spatial+temporal,10,0.46205957446808515,141
spatial+temporal,15,0.42853475177304967,141
spatial+temporal,20,0.41217163120567374,141
spatial+temporal,25,0.4018914893617021,141
spatial+temporal,29,0.39586170212765953,141
