table,condition,constraint_set,tau,n,imagined_violation,executed_violation,executed_given_imagined_clean,executed_given_imagined_violating
planning,jev,implicit,0.5,90,0.43333333333333335,0.5888888888888889,0.4916666666666667,0.734920634920635
planning,jev,spatial,0.5,90,0.044444444444444446,0.5555555555555555,0.5485738612175394,0.8333333333333333
planning,jev,spatial+temporal,0.5,90,0.3666666666666667,0.8444444444444444,0.8612085769980506,0.8227272727272728
planning,keyword,implicit,0.5,90,0.07777777777777778,0.5555555555555555,0.530882910193255,0.9166666666666666
planning,keyword,spatial,0.5,90,0.4777777777777778,0.5555555555555555,0.1485042735042735,1.0
planning,keyword,spatial+temporal,0.5,90,0.7333333333333334,0.8111111111111112,0.37433862433862436,0.9710144927536232
planning,oracle,implicit,0.5,90,0.3111111111111111,0.5222222222222223,0.3868762816131237,0.8282828282828283
planning,oracle,spatial,0.5,90,0.4777777777777778,0.5555555555555555,0.1485042735042735,1.0
planning,oracle,spatial+temporal,0.5,90,0.7333333333333334,0.8333333333333334,0.48055555555555557,0.9722222222222222
planning_filtered,jev,implicit,0.5,90,0.5777777777777778,0.7333333333333334,0.5747863247863249,0.8417366946778712
planning_filtered,jev,spatial,0.5,90,0.12222222222222223,0.8777777777777778,0.9010141093474427,0.7777777777777777
planning_filtered,jev,spatial+temporal,0.5,90,0.6444444444444444,0.5666666666666667,0.5170940170940171,0.6053688141923437
planning_filtered,keyword,implicit,0.5,90,0.03333333333333333,0.6555555555555556,0.6572523262178435,0.5
planning_filtered,keyword,spatial,0.5,90,0.43333333333333335,0.9222222222222222,0.9426900584795321,0.9042735042735043
planning_filtered,keyword,spatial+temporal,0.5,90,0.3666666666666667,0.4666666666666666,0.32676767676767676,0.6888888888888888
planning_filtered,oracle,implicit,0.5,90,0.43333333333333335,0.6888888888888888,0.5121187363834423,0.9188034188034188
planning_filtered,oracle,spatial,0.5,90,0.43333333333333335,0.9222222222222222,0.9426900584795321,0.9042735042735043
planning_filtered,oracle,spatial+temporal,0.5,90,0.35555555555555557,0.5111111111111111,0.36147186147186144,0.75
planning_gate,jev,implicit,0.75,90,0.7222222222222222,0.7666666666666666,0.5973063973063973,0.8229908103592315
planning_gate,jev,implicit,1.0,90,0.8111111111111112,0.6888888888888888,0.3452380952380952,0.7674191750278707
planning_gate,jev,spatial+temporal,0.75,90,0.7999999999999999,0.5666666666666667,0.41111111111111115,0.6155555555555555
planning_gate,jev,spatial+temporal,1.0,90,0.8666666666666667,0.5555555555555555,0.21666666666666667,0.6036087369420703
