judge,source,description,n_items,canonical_precision,canonical_recall,canonical_f1,canonical_accuracy,canonical_auroc,canonical_ece,paraphrase_precision,paraphrase_recall,paraphrase_f1,paraphrase_accuracy,paraphrase_auroc,paraphrase_ece,negative_fpr,latency_ms_per_1000,tokens_in_per_1000,failed_rate
jev,executed,gt-words,64,0.7863777089783281,0.9236363636363636,0.8494983277591973,0.8828125,0.9553309976028029,0.112867871422559,0.7991360691144709,0.8072727272727273,0.8031837916063675,0.8583333333333333,0.9328118015858381,0.08769560185185186,0.5345454545454545,2458.2172410610783,139883.98437499997,0.0
jev,executed,probe-words,64,0.7770491803278688,0.8618181818181818,0.8172413793103447,0.8619791666666666,0.9391333210400147,0.0831800097327441,0.8083650190114069,0.773090909090909,0.7903345724907064,0.853125,0.9200646136824636,0.07683749605429295,0.5290909090909091,2458.2172410610783,139883.98437499997,0.0
jev,imagined,probe-words,128,0.7517241379310344,0.8134328358208955,0.7813620071684588,0.880859375,0.9372592504847896,0.10701009114583332,0.7648283038501561,0.7313432835820896,0.7477110885045779,0.8708333333333333,0.9224244737511735,0.0760143623737374,0.38308457711442784,2561.186907050287,139829.39453125003,0.0
keyword,executed,gt-words,64,0.8832684824902723,0.8254545454545454,0.8533834586466166,0.8984375,0.9177355707173152,0.0751953125,,0.0,,0.6419270833333334,0.5,0.35807291666666663,0.025454545454545455,0.0,0.0,0.0
keyword,executed,probe-words,64,0.8690476190476191,0.7963636363636364,0.8311195445920303,0.8841145833333334,0.900601143278628,0.08626302083333333,,0.0,,0.6419270833333334,0.5,0.35807291666666663,0.023636363636363636,0.0,0.0,0.0
keyword,imagined,probe-words,128,0.7825059101654847,0.8233830845771144,0.8024242424242423,0.8938802083333334,0.8949805645493871,0.0859375,,0.0,,0.73828125,0.5,0.26171875,0.01990049751243781,0.0,0.0,0.0
llm,executed,gt-words,8,0.47368421052631576,0.5142857142857142,0.4931506849315068,0.6145833333333334,0.6114754098360655,0.33229166666666665,,,,0.0,,,,565954.8232981893,196402.34375,0.6666666666666666
llm,executed,probe-words,8,0.4473684210526316,0.4857142857142857,0.4657534246575342,0.59375,0.5875878220140515,0.35572916666666665,,,,0.0,,,,565954.8232981893,196402.34375,0.6666666666666666
oracle,executed,gt-words,64,1.0,0.92,0.9583333333333334,0.9713541666666666,1.0,0.012695312499999997,1.0,0.92,0.9583333333333334,0.9713541666666666,1.0,0.012695312499999995,,0.0,0.0,0.0
oracle,executed,probe-words,64,1.0,0.92,0.9583333333333334,0.9713541666666666,1.0,0.012695312499999997,1.0,0.92,0.9583333333333334,0.9713541666666666,1.0,0.012695312499999995,,0.0,0.0,0.0
oracle,imagined,probe-words,128,1.0,0.945273631840796,0.9718670076726343,0.9856770833333334,1.0,0.003255208333333333,1.0,0.945273631840796,0.9718670076726343,0.9856770833333334,1.0,0.0032552083333333374,,0.0,0.0,0.0
