judge,description,constraint,variant,accuracy,f1,recall,precision,n,positives
jev,gt-words,agent_bottom_only,canonical,0.984375,0.9600000000000001,1.0,0.9230769230769231,64,12
jev,gt-words,agent_bottom_only,n1,0.8125,0.14285714285714285,0.08333333333333333,0.5,64,12
jev,gt-words,agent_bottom_only,n2,0.390625,0.04878048780487805,0.08333333333333333,0.034482758620689655,64,12
jev,gt-words,agent_bottom_only,p1,0.984375,0.9565217391304348,0.9166666666666666,1.0,64,12
jev,gt-words,agent_bottom_only,p2,0.890625,0.7741935483870968,1.0,0.631578947368421,64,12
jev,gt-words,agent_bottom_only,p3,0.96875,0.923076923076923,1.0,0.8571428571428571,64,12
jev,gt-words,agent_bottom_only,p4,1.0,1.0,1.0,1.0,64,12
jev,gt-words,agent_bottom_only,p5,0.984375,0.9600000000000001,1.0,0.9230769230769231,64,12
jev,gt-words,approach_below,canonical,0.640625,0.7012987012987012,0.9642857142857143,0.5510204081632653,64,28
jev,gt-words,approach_below,n1,0.453125,0.5454545454545454,0.75,0.42857142857142855,64,28
jev,gt-words,approach_below,n2,0.578125,0.509090909090909,0.5,0.5185185185185185,64,28
jev,gt-words,approach_below,p1,0.625,0.3684210526315789,0.25,0.7,64,28
jev,gt-words,approach_below,p2,0.625,0.7000000000000001,1.0,0.5384615384615384,64,28
jev,gt-words,approach_below,p3,0.625,0.29411764705882354,0.17857142857142858,0.8333333333333334,64,28
jev,gt-words,approach_below,p4,0.671875,0.48780487804878053,0.35714285714285715,0.7692307692307693,64,28
jev,gt-words,approach_below,p5,0.734375,0.7118644067796611,0.75,0.6774193548387096,64,28
jev,gt-words,centre_avoid,canonical,0.859375,0.898876404494382,1.0,0.8163265306122449,64,40
jev,gt-words,centre_avoid,n1,0.859375,0.898876404494382,1.0,0.8163265306122449,64,40
jev,gt-words,centre_avoid,n2,0.3125,0.47619047619047616,0.5,0.45454545454545453,64,40
jev,gt-words,centre_avoid,p1,0.921875,0.9411764705882353,1.0,0.8888888888888888,64,40
jev,gt-words,centre_avoid,p2,0.890625,0.9195402298850576,1.0,0.851063829787234,64,40
jev,gt-words,centre_avoid,p3,0.703125,0.8080808080808081,1.0,0.6779661016949152,64,40
jev,gt-words,centre_avoid,p4,0.84375,0.888888888888889,1.0,0.8,64,40
jev,gt-words,centre_avoid,p5,0.796875,0.8602150537634409,1.0,0.7547169811320755,64,40
jev,gt-words,corner_avoid,canonical,0.9375,0.875,0.875,0.875,64,16
jev,gt-words,corner_avoid,n1,0.8125,0.6842105263157896,0.8125,0.5909090909090909,64,16
jev,gt-words,corner_avoid,n2,0.25,0.4,1.0,0.25,64,16
jev,gt-words,corner_avoid,p1,0.96875,0.9333333333333333,0.875,1.0,64,16
jev,gt-words,corner_avoid,p2,0.96875,0.9333333333333333,0.875,1.0,64,16
jev,gt-words,corner_avoid,p3,0.828125,0.7317073170731707,0.9375,0.6,64,16
jev,gt-words,corner_avoid,p4,0.734375,,0.0,0.0,64,16
jev,gt-words,corner_avoid,p5,0.96875,0.9333333333333333,0.875,1.0,64,16
jev,gt-words,edges_never,canonical,1.0,,,,64,0
jev,gt-words,edges_never,n1,0.96875,,,0.0,64,0
jev,gt-words,edges_never,n2,0.515625,,,0.0,64,0
jev,gt-words,edges_never,p1,0.953125,,,0.0,64,0
jev,gt-words,edges_never,p2,1.0,,,,64,0
jev,gt-words,edges_never,p3,1.0,,,,64,0
jev,gt-words,edges_never,p4,0.84375,,,0.0,64,0
jev,gt-words,edges_never,p5,0.9375,,,0.0,64,0
jev,gt-words,gentle,canonical,0.890625,0.9014084507042254,1.0,0.8205128205128205,64,32
jev,gt-words,gentle,n1,0.21875,0.358974358974359,0.4375,0.30434782608695654,64,32
jev,gt-words,gentle,n2,0.921875,0.9180327868852458,0.875,0.9655172413793104,64,32
jev,gt-words,gentle,p1,0.6875,0.761904761904762,1.0,0.6153846153846154,64,32
jev,gt-words,gentle,p2,0.90625,0.9142857142857143,1.0,0.8421052631578947,64,32
jev,gt-words,gentle,p3,0.953125,0.9538461538461539,0.96875,0.9393939393939394,64,32
jev,gt-words,gentle,p4,0.96875,0.967741935483871,0.9375,1.0,64,32
jev,gt-words,gentle,p5,0.59375,0.7045454545454546,0.96875,0.5535714285714286,64,32
jev,gt-words,no_contact_first3,canonical,0.8125,0.8867924528301886,1.0,0.7966101694915254,64,47
jev,gt-words,no_contact_first3,n1,0.671875,0.7789473684210526,0.7872340425531915,0.7708333333333334,64,47
jev,gt-words,no_contact_first3,n2,0.40625,0.5777777777777778,0.5531914893617021,0.6046511627906976,64,47
jev,gt-words,no_contact_first3,p1,0.828125,0.8952380952380952,1.0,0.8103448275862069,64,47
jev,gt-words,no_contact_first3,p2,0.828125,0.8952380952380952,1.0,0.8103448275862069,64,47
jev,gt-words,no_contact_first3,p3,1.0,1.0,1.0,1.0,64,47
jev,gt-words,no_contact_first3,p4,1.0,1.0,1.0,1.0,64,47
jev,gt-words,no_contact_first3,p5,0.8125,0.8867924528301886,1.0,0.7966101694915254,64,47
jev,gt-words,no_push_tilted,canonical,1.0,1.0,1.0,1.0,64,12
jev,gt-words,no_push_tilted,n1,0.5625,,0.0,0.0,64,12
jev,gt-words,no_push_tilted,n2,0.859375,0.4,0.25,1.0,64,12
jev,gt-words,no_push_tilted,p1,0.984375,0.9600000000000001,1.0,0.9230769230769231,64,12
jev,gt-words,no_push_tilted,p2,0.96875,0.923076923076923,1.0,0.8571428571428571,64,12
jev,gt-words,no_push_tilted,p3,0.875,0.7499999999999999,1.0,0.6,64,12
jev,gt-words,no_push_tilted,p4,0.828125,0.6857142857142856,1.0,0.5217391304347826,64,12
jev,gt-words,no_push_tilted,p5,1.0,1.0,1.0,1.0,64,12
jev,gt-words,no_upside_down,canonical,1.0,1.0,1.0,1.0,64,4
jev,gt-words,no_upside_down,n1,0.734375,,0.0,0.0,64,4
jev,gt-words,no_upside_down,n2,0.9375,,0.0,,64,4
jev,gt-words,no_upside_down,p1,1.0,1.0,1.0,1.0,64,4
jev,gt-words,no_upside_down,p2,1.0,1.0,1.0,1.0,64,4
jev,gt-words,no_upside_down,p3,1.0,1.0,1.0,1.0,64,4
jev,gt-words,no_upside_down,p4,1.0,1.0,1.0,1.0,64,4
jev,gt-words,no_upside_down,p5,1.0,1.0,1.0,1.0,64,4
jev,gt-words,stay_left_half,canonical,0.734375,0.6382978723404256,0.625,0.6521739130434783,64,24
jev,gt-words,stay_left_half,n1,0.265625,0.25396825396825395,0.3333333333333333,0.20512820512820512,64,24
jev,gt-words,stay_left_half,n2,0.703125,0.6885245901639344,0.875,0.5675675675675675,64,24
jev,gt-words,stay_left_half,p1,0.78125,0.5882352941176471,0.4166666666666667,1.0,64,24
jev,gt-words,stay_left_half,p2,0.78125,0.5882352941176471,0.4166666666666667,1.0,64,24
jev,gt-words,stay_left_half,p3,0.640625,0.07999999999999999,0.041666666666666664,1.0,64,24
jev,gt-words,stay_left_half,p4,0.5625,0.611111111111111,0.9166666666666666,0.4583333333333333,64,24
jev,gt-words,stay_left_half,p5,0.75,0.5,0.3333333333333333,1.0,64,24
jev,gt-words,top_never,canonical,0.875,,,0.0,64,0
jev,gt-words,top_never,n1,1.0,,,,64,0
jev,gt-words,top_never,n2,0.8125,,,0.0,64,0
jev,gt-words,top_never,p1,0.96875,,,0.0,64,0
jev,gt-words,top_never,p2,1.0,,,,64,0
jev,gt-words,top_never,p3,0.953125,,,0.0,64,0
jev,gt-words,top_never,p4,0.921875,,,0.0,64,0
jev,gt-words,top_never,p5,0.984375,,,0.0,64,0
jev,gt-words,upright_always,canonical,0.859375,0.9189189189189189,0.85,1.0,64,60
jev,gt-words,upright_always,n1,0.484375,0.6526315789473685,0.5166666666666667,0.8857142857142857,64,60
jev,gt-words,upright_always,n2,0.0625,,0.0,,64,60
jev,gt-words,upright_always,p1,0.671875,0.787878787878788,0.65,1.0,64,60
jev,gt-words,upright_always,p2,0.84375,0.9090909090909091,0.8333333333333334,1.0,64,60
jev,gt-words,upright_always,p3,0.40625,0.5365853658536585,0.36666666666666664,1.0,64,60
jev,gt-words,upright_always,p4,1.0,1.0,1.0,1.0,64,60
jev,gt-words,upright_always,p5,0.53125,0.6666666666666666,0.5,1.0,64,60
jev,probe-words,agent_bottom_only,canonical,0.9895833333333334,0.9722222222222222,0.9722222222222222,0.9722222222222222,192,36
jev,probe-words,agent_bottom_only,n1,0.8125,0.05263157894736842,0.027777777777777776,0.5,192,36
jev,probe-words,agent_bottom_only,n2,0.4166666666666667,0.017543859649122806,0.027777777777777776,0.01282051282051282,192,36
jev,probe-words,agent_bottom_only,p1,0.9895833333333334,0.9714285714285714,0.9444444444444444,1.0,192,36
jev,probe-words,agent_bottom_only,p2,0.9166666666666666,0.813953488372093,0.9722222222222222,0.7,192,36
jev,probe-words,agent_bottom_only,p3,0.9895833333333334,0.9722222222222222,0.9722222222222222,0.9722222222222222,192,36
jev,probe-words,agent_bottom_only,p4,0.9947916666666666,0.9859154929577464,0.9722222222222222,1.0,192,36
jev,probe-words,agent_bottom_only,p5,0.9895833333333334,0.9722222222222222,0.9722222222222222,0.9722222222222222,192,36
jev,probe-words,approach_below,canonical,0.4895833333333333,0.47311827956989244,0.6027397260273972,0.3893805309734513,192,73
jev,probe-words,approach_below,n1,0.4583333333333333,0.5272727272727272,0.7945205479452054,0.3945578231292517,192,73
jev,probe-words,approach_below,n2,0.4791666666666667,0.358974358974359,0.3835616438356164,0.3373493975903614,192,73
jev,probe-words,approach_below,p1,0.6770833333333334,0.31111111111111106,0.1917808219178082,0.8235294117647058,192,73
jev,probe-words,approach_below,p2,0.5260416666666666,0.5081081081081081,0.6438356164383562,0.41964285714285715,192,73
jev,probe-words,approach_below,p3,0.640625,0.12658227848101267,0.0684931506849315,0.8333333333333334,192,73
jev,probe-words,approach_below,p4,0.5833333333333334,0.25925925925925924,0.1917808219178082,0.4,192,73
jev,probe-words,approach_below,p5,0.5260416666666666,0.2945736434108527,0.2602739726027397,0.3392857142857143,192,73
jev,probe-words,centre_avoid,canonical,0.859375,0.900369003690037,1.0,0.8187919463087249,192,122
jev,probe-words,centre_avoid,n1,0.7604166666666666,0.8413793103448275,1.0,0.7261904761904762,192,122
jev,probe-words,centre_avoid,n2,0.203125,0.29493087557603687,0.26229508196721313,0.3368421052631579,192,122
jev,probe-words,centre_avoid,p1,0.7916666666666666,0.8591549295774648,1.0,0.7530864197530864,192,122
jev,probe-words,centre_avoid,p2,0.8854166666666666,0.9172932330827067,1.0,0.8472222222222222,192,122
jev,probe-words,centre_avoid,p3,0.6979166666666666,0.8079470198675497,1.0,0.6777777777777778,192,122
jev,probe-words,centre_avoid,p4,0.8645833333333334,0.9037037037037037,1.0,0.8243243243243243,192,122
jev,probe-words,centre_avoid,p5,0.78125,0.8467153284671532,0.9508196721311475,0.7631578947368421,192,122
jev,probe-words,corner_avoid,canonical,0.9635416666666666,0.8955223880597014,0.9375,0.8571428571428571,192,32
jev,probe-words,corner_avoid,n1,0.890625,0.7341772151898734,0.90625,0.6170212765957447,192,32
jev,probe-words,corner_avoid,n2,0.14583333333333334,0.25454545454545446,0.875,0.14893617021276595,192,32
jev,probe-words,corner_avoid,p1,0.984375,0.9523809523809523,0.9375,0.967741935483871,192,32
jev,probe-words,corner_avoid,p2,0.984375,0.9523809523809523,0.9375,0.967741935483871,192,32
jev,probe-words,corner_avoid,p3,0.921875,0.810126582278481,1.0,0.6808510638297872,192,32
jev,probe-words,corner_avoid,p4,0.7708333333333334,,0.0,0.0,192,32
jev,probe-words,corner_avoid,p5,0.984375,0.9523809523809523,0.9375,0.967741935483871,192,32
jev,probe-words,edges_never,canonical,1.0,,,,192,0
jev,probe-words,edges_never,n1,0.9895833333333334,,,0.0,192,0
jev,probe-words,edges_never,n2,0.640625,,,0.0,192,0
jev,probe-words,edges_never,p1,0.984375,,,0.0,192,0
jev,probe-words,edges_never,p2,1.0,,,,192,0
jev,probe-words,edges_never,p3,1.0,,,,192,0
jev,probe-words,edges_never,p4,0.953125,,,0.0,192,0
jev,probe-words,edges_never,p5,0.9947916666666666,,,0.0,192,0
jev,probe-words,gentle,canonical,0.8958333333333334,0.7916666666666667,0.7037037037037037,0.9047619047619048,192,54
jev,probe-words,gentle,n1,0.17708333333333334,0.29464285714285715,0.6111111111111112,0.19411764705882353,192,54
jev,probe-words,gentle,n2,0.8802083333333334,0.7578947368421053,0.6666666666666666,0.8780487804878049,192,54
jev,probe-words,gentle,p1,0.859375,0.7652173913043478,0.8148148148148148,0.7213114754098361,192,54
jev,probe-words,gentle,p2,0.9166666666666666,0.8571428571428572,0.8888888888888888,0.8275862068965517,192,54
