condition,constraint_set,n,seeds,success,success_lo,success_hi,violation,violation_lo,violation_hi,violation_steps,plan_p50_s,plan_p95_s,judge_calls_per_episode,tokens_in_per_episode,abstention_rate
jev,implicit,90,3,0.8444444444444444,0.7666666666666667,0.9111111111111111,0.5888888888888889,0.4888888888888889,0.6888888888888889,1.8444444444444446,4.315174458504771,4.843075566849438,12.633333333333333,84993.94444444444,0.16923015873015873
keyword,implicit,90,3,0.8222222222222222,0.7444444444444445,0.9,0.5555555555555556,0.45555555555555555,0.6555555555555556,1.7777777777777777,1.4779972915021062,1.8069918418506858,0.0,0.0,0.0
lewm,implicit,90,3,0.8444444444444444,0.7666666666666667,0.9111111111111111,0.5666666666666667,0.4666666666666667,0.6666666666666666,1.8111111111111111,3.7930907499976456,6.6184587239177555,0.0,0.0,0.0
oracle,implicit,90,3,0.8222222222222222,0.7333333333333333,0.9,0.5222222222222223,0.4222222222222222,0.6222222222222222,1.8333333333333333,1.6585402085001988,1.9048123170838154,0.0,0.0,0.0
jev,spatial,90,3,0.8444444444444444,0.7666666666666667,0.9111111111111111,0.5555555555555556,0.45555555555555555,0.6555555555555556,2.3777777777777778,2.3274012499969103,3.545948714395489,3.1222222222222222,10804.788888888888,0.48861904761904773
keyword,spatial,90,3,0.8111111111111111,0.7222222222222222,0.8888888888888888,0.5555555555555556,0.45555555555555555,0.6555555555555556,2.566666666666667,1.4122154579999915,1.6418213648890014,0.0,0.0,0.0
lewm,spatial,90,3,0.8444444444444444,0.7666666666666667,0.9111111111111111,0.5666666666666667,0.4666666666666667,0.6666666666666666,2.4555555555555557,1.000174437504029,1.2072961238614153,0.0,0.0,0.0
oracle,spatial,90,3,0.8111111111111111,0.7222222222222222,0.8888888888888888,0.5555555555555556,0.45555555555555555,0.6555555555555556,2.566666666666667,1.5311102707528335,1.809985327052709,0.0,0.0,0.0
jev,spatial+temporal,90,3,0.8444444444444444,0.7666666666666667,0.9111111111111111,0.8444444444444444,0.7666666666666667,0.9111111111111111,3.8222222222222224,2.247682989749592,2.959407207503354,3.1222222222222222,17793.18888888889,0.49311111111111117
keyword,spatial+temporal,90,3,0.8444444444444444,0.7666666666666667,0.9111111111111111,0.8111111111111111,0.7222222222222222,0.8888888888888888,3.588888888888889,1.4822967604959558,1.6913291094920346,0.0,0.0,0.0
lewm,spatial+temporal,90,3,0.8444444444444444,0.7666666666666667,0.9111111111111111,0.8555555555555555,0.7777777777777778,0.9222222222222223,3.888888888888889,1.2178044897445943,1.5572017516009509,0.0,0.0,0.0
oracle,spatial+temporal,90,3,0.8333333333333334,0.7555555555555555,0.9,0.8333333333333334,0.7555555555555555,0.9111111111111111,3.8,1.7730724792490946,2.0464946448912813,0.0,0.0,0.0
