condition,constraint_set,satisfiable,n,success,success_lo,success_hi,violation,violation_lo,violation_hi
jev,implicit,False,52,0.9230769230769231,0.8461538461538461,0.9807692307692307,0.6538461538461539,0.5192307692307693,0.7884615384615384
keyword,implicit,False,52,0.9038461538461539,0.8269230769230769,0.9807692307692307,0.6538461538461539,0.5192307692307693,0.7884615384615384
lewm,implicit,False,52,0.9230769230769231,0.8461538461538461,0.9807692307692307,0.6538461538461539,0.5192307692307693,0.7884615384615384
oracle,implicit,False,52,0.8653846153846154,0.7692307692307693,0.9423076923076923,0.5961538461538461,0.46153846153846156,0.7307692307692307
jev,implicit,True,38,0.7368421052631579,0.5789473684210527,0.868421052631579,0.5,0.34210526315789475,0.6578947368421053
keyword,implicit,True,38,0.7105263157894737,0.5526315789473685,0.8421052631578947,0.42105263157894735,0.2631578947368421,0.5789473684210527
lewm,implicit,True,38,0.7368421052631579,0.5789473684210527,0.868421052631579,0.4473684210526316,0.2894736842105263,0.6052631578947368
oracle,implicit,True,38,0.7631578947368421,0.631578947368421,0.8947368421052632,0.42105263157894735,0.2631578947368421,0.5789473684210527
jev,spatial,False,48,0.8958333333333334,0.8125,0.9791666666666666,0.9166666666666666,0.8333333333333334,0.9791666666666666
keyword,spatial,False,48,0.8541666666666666,0.75,0.9375,0.9166666666666666,0.8333333333333334,0.9791666666666666
lewm,spatial,False,48,0.8958333333333334,0.8125,0.9791666666666666,0.9375,0.8541666666666666,1.0
oracle,spatial,False,48,0.8541666666666666,0.75,0.9375,0.9166666666666666,0.8333333333333334,0.9791666666666666
jev,spatial,True,42,0.7857142857142857,0.6660714285714291,0.9047619047619048,0.14285714285714285,0.047619047619047616,0.2619047619047619
keyword,spatial,True,42,0.7619047619047619,0.6190476190476191,0.8809523809523809,0.14285714285714285,0.047619047619047616,0.2619047619047619
lewm,spatial,True,42,0.7857142857142857,0.6428571428571429,0.9047619047619048,0.14285714285714285,0.047619047619047616,0.2619047619047619
oracle,spatial,True,42,0.7619047619047619,0.6190476190476191,0.8809523809523809,0.14285714285714285,0.047619047619047616,0.2619047619047619
jev,spatial+temporal,False,70,0.9142857142857143,0.8428571428571429,0.9714285714285714,0.9428571428571428,0.8857142857142857,0.9857142857142858
keyword,spatial+temporal,False,70,0.9,0.8285714285714286,0.9571428571428572,0.9285714285714286,0.8714285714285714,0.9857142857142858
lewm,spatial+temporal,False,70,0.9,0.8285714285714286,0.9571428571428572,0.9714285714285714,0.9285714285714286,1.0
oracle,spatial+temporal,False,70,0.8714285714285714,0.7857142857142857,0.9428571428571428,0.9285714285714286,0.8714285714285714,0.9857142857142858
jev,spatial+temporal,True,20,0.6,0.4,0.8,0.5,0.3,0.7
keyword,spatial+temporal,True,20,0.65,0.45,0.85,0.4,0.2,0.6
lewm,spatial+temporal,True,20,0.65,0.45,0.85,0.45,0.25,0.65
oracle,spatial+temporal,True,20,0.7,0.5,0.9,0.5,0.3,0.7
