condition,constraint_set,n,seeds,success,success_lo,success_hi,violation,violation_lo,violation_hi,violation_steps,plan_p50_s,plan_p95_s,judge_calls_per_episode,tokens_in_per_episode,abstention_rate
jev:K32,spatial,20,1,0.95,0.85,1.0,0.5,0.3,0.7,2.05,1.1854270519979764,1.2043869458590053,0.0,0.0,0.44071428571428567
jev:K32_lam4,spatial,20,1,0.95,0.85,1.0,0.55,0.35,0.75,2.05,1.193531166500179,1.2795759145970806,0.0,0.0,0.4339880952380953
jev:K4,spatial,20,1,0.95,0.85,1.0,0.5,0.3,0.7,2.05,1.163729030995455,1.6756833850973636,0.25,129.35,0.44071428571428567
jev:K64,spatial,20,1,0.95,0.85,1.0,0.5,0.3,0.7,2.05,1.2215740209940122,1.2328529145466747,0.0,0.0,0.44071428571428567
jev:final_only,spatial,20,1,0.95,0.85,1.0,0.55,0.35,0.75,2.1,1.0068601460006903,1.2058251898269374,0.0,0.0,0.457
jev:hard_reject,spatial,20,1,0.95,0.85,1.0,0.55,0.35,0.75,2.05,1.2656276045017876,1.2812544209151384,0.0,0.0,0.4028214285714286
jev:lam_sweep_0.25,spatial,20,1,0.95,0.85,1.0,0.5,0.3,0.7,2.0,1.1674952085013501,1.715025998748133,0.25,175.4,0.41623809523809535
jev:lam_sweep_0.5,spatial,20,1,0.95,0.85,1.0,0.55,0.35,0.75,2.1,1.1812590620029368,1.773840730650409,0.5,296.6,0.42560714285714285
jev:lam_sweep_2,spatial,20,1,1.0,1.0,1.0,0.5,0.3,0.7,2.05,1.175521833501989,1.7414768294991518,0.35,214.9,0.4416666666666666
jev:lam_sweep_4,spatial,20,1,0.95,0.85,1.0,0.55,0.35,0.75,2.05,1.1661819375003688,1.8465276774250015,0.3,210.6,0.4339880952380953
jev:last_n3,spatial,20,1,0.95,0.85,1.0,0.5,0.3,0.7,2.0,1.0515641874953872,1.2675956704966667,0.0,0.0,0.43480555555555556
jev:mlp_probe,spatial,20,1,0.95,0.85,1.0,0.5,0.3,0.7,2.1,1.6969297914984054,1.9928405985570863,1.7,1979.2,0.4183690476190476
jev:per_iter,spatial,20,1,0.95,0.85,1.0,0.55,0.35,0.75,2.15,2.667970228994818,3.774820230417172,3.35,2298.7,0.5377166666666667
jev:steps_half,spatial,20,1,0.95,0.85,1.0,0.55,0.35,0.75,2.15,1.240145864256192,1.7431250032362369,0.1,48.05,0.3431071428571428
jev:unjudged_none,spatial,20,1,0.95,0.85,1.0,0.5,0.3,0.7,2.05,1.174098021001555,1.1855239166477987,0.0,0.0,0.44071428571428567
jev:vocab_pusht2,spatial,20,1,0.95,0.85,1.0,0.55,0.35,0.75,2.1,1.7358923329957179,13.673849620808324,0.0,0.0,0.00038095238095238096
