condition,constraint_set,n,seeds,success,success_lo,success_hi,violation,violation_lo,violation_hi,violation_steps,plan_p50_s,plan_p95_s,judge_calls_per_episode,tokens_in_per_episode,abstention_rate
jev,implicit,90,3,0.7333333333333333,0.6444444444444445,0.8222222222222222,0.7333333333333333,0.6333333333333333,0.8222222222222222,2.3444444444444446,4.740347416503937,6.4986074725272545,12.644444444444444,84680.82222222222,0.2130582010582011
keyword,implicit,90,3,0.7111111111111111,0.6111111111111112,0.8,0.6555555555555556,0.5555555555555556,0.7555555555555555,2.2333333333333334,1.6341768025013153,1.7339351282636926,0.0,0.0,0.0
lewm,implicit,90,3,0.7111111111111111,0.6222222222222222,0.8,0.7666666666666667,0.6777777777777778,0.8555555555555555,2.4,1.6034370002525975,1.92639712139131,0.0,0.0,0.0
oracle,implicit,90,3,0.6666666666666666,0.5666666666666667,0.7555555555555555,0.6888888888888889,0.5888888888888889,0.7888888888888889,2.3222222222222224,2.206847218752955,3.0878328694888113,0.0,0.0,0.0
jev,spatial,90,3,0.9333333333333333,0.8777777777777778,0.9777777777777777,0.8777777777777778,0.8111111111111111,0.9444444444444444,2.011111111111111,2.0598689370017382,2.8203157524520064,1.3111111111111111,1811.2444444444445,0.6212566137566136
keyword,spatial,90,3,0.9222222222222223,0.8666666666666667,0.9777777777777777,0.9222222222222223,0.8666666666666667,0.9666666666666667,1.9,3.024270334011817,3.8523491023609675,0.0,0.0,0.0
lewm,spatial,90,3,0.9222222222222223,0.8666666666666667,0.9666666666666667,0.8666666666666667,0.7888888888888889,0.9333333333333333,1.9111111111111112,1.3157975409994833,1.5069391062461364,0.0,0.0,0.0
oracle,spatial,90,3,0.9222222222222223,0.8666666666666667,0.9777777777777777,0.9222222222222223,0.8666666666666667,0.9666666666666667,1.9,1.6162342290044762,2.485330509745836,0.0,0.0,0.0
jev,spatial+temporal,90,3,0.7222222222222222,0.6333333333333333,0.8111111111111111,0.5666666666666667,0.4666666666666667,0.6666666666666666,1.2333333333333334,2.5929460937477415,3.6969541747198305,2.4,7111.288888888889,0.22630952380952382
keyword,spatial+temporal,90,3,0.6777777777777778,0.5777777777777777,0.7666666666666667,0.4666666666666667,0.36666666666666664,0.5666666666666667,1.0,1.9742053954978473,2.7652541711577574,0.0,0.0,0.0
lewm,spatial+temporal,90,3,0.6444444444444445,0.5444444444444444,0.7444444444444445,0.6111111111111112,0.5111111111111111,0.7111111111111111,1.2777777777777777,1.56113318725329,1.920857744589266,0.0,0.0,0.0
oracle,spatial+temporal,90,3,0.6444444444444445,0.5444444444444444,0.7444444444444445,0.5111111111111111,0.4111111111111111,0.6111111111111112,1.1333333333333333,2.0722041455010185,2.9771395214445144,0.0,0.0,0.0
