condition,constraint_set,n,seeds,success,success_lo,success_hi,violation,violation_lo,violation_hi,violation_steps,plan_p50_s,plan_p95_s,judge_calls_per_episode,tokens_in_per_episode,abstention_rate
jev:tau0.5,implicit,90,3,0.7333333333333333,0.6444444444444445,0.8222222222222222,0.7333333333333333,0.6333333333333333,0.8222222222222222,2.3444444444444446,4.740347416503937,6.4986074725272545,12.644444444444444,84680.82222222222,0.2130582010582011
jev:tau0.75,implicit,90,3,0.6555555555555556,0.5555555555555556,0.7555555555555555,0.7666666666666667,0.6777777777777778,0.8555555555555555,2.4555555555555557,3.475611343754281,4.103837796762746,11.422222222222222,84120.73333333334,0.09784126984126984
jev:tau1.0,implicit,90,3,0.7222222222222222,0.6333333333333333,0.8111111111111111,0.6888888888888889,0.5888888888888889,0.7777777777777778,2.3666666666666667,3.518700437500229,4.097509622049656,11.911111111111111,85290.27777777778,0.0
keyword,implicit,90,3,0.7111111111111111,0.6111111111111112,0.8,0.6555555555555556,0.5555555555555556,0.7555555555555555,2.2333333333333334,1.6341768025013153,1.7339351282636926,0.0,0.0,0.0
lewm,implicit,90,3,0.7111111111111111,0.6222222222222222,0.8,0.7666666666666667,0.6777777777777778,0.8555555555555555,2.4,1.6034370002525975,1.92639712139131,0.0,0.0,0.0
oracle,implicit,90,3,0.6666666666666666,0.5666666666666667,0.7555555555555555,0.6888888888888889,0.5888888888888889,0.7888888888888889,2.3222222222222224,2.206847218752955,3.0878328694888113,0.0,0.0,0.0
jev:tau0.5,spatial+temporal,90,3,0.7222222222222222,0.6333333333333333,0.8111111111111111,0.5666666666666667,0.4666666666666667,0.6666666666666666,1.2333333333333334,2.5929460937477415,3.6969541747198305,2.4,7111.288888888889,0.22630952380952382
jev:tau0.75,spatial+temporal,90,3,0.6777777777777778,0.5777777777777777,0.7777777777777778,0.5666666666666667,0.4666666666666667,0.6666666666666666,1.2555555555555555,1.360106802003429,2.147209331031699,0.7555555555555555,1051.3,0.08823809523809524
jev:tau1.0,spatial+temporal,90,3,0.6333333333333333,0.5333333333333333,0.7333333333333333,0.5555555555555556,0.45555555555555555,0.6555555555555556,1.288888888888889,1.5556388857548882,2.236331873148847,1.3555555555555556,2306.011111111111,0.0
keyword,spatial+temporal,90,3,0.6777777777777778,0.5777777777777777,0.7666666666666667,0.4666666666666667,0.36666666666666664,0.5666666666666667,1.0,1.9742053954978473,2.7652541711577574,0.0,0.0,0.0
lewm,spatial+temporal,90,3,0.6444444444444445,0.5444444444444444,0.7444444444444445,0.6111111111111112,0.5111111111111111,0.7111111111111111,1.2777777777777777,1.56113318725329,1.920857744589266,0.0,0.0,0.0
oracle,spatial+temporal,90,3,0.6444444444444445,0.5444444444444444,0.7444444444444445,0.5111111111111111,0.4111111111111111,0.6111111111111112,1.1333333333333333,2.0722041455010185,2.9771395214445144,0.0,0.0,0.0
